Name,Price,Link,Img_url
"탐사수 무라벨, 2L, 12개","6,490",https://www.coupang.com/vp/products/5625704601?itemId=9133866800&vendorItemId=79544780507&pickType=COU_PICK,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/9202382952942280-70046ce8-e531-4184-a2dd-2fb93116dd57.jpg
"탐사수 무라벨, 2L, 36개","16,800",https://www.coupang.com/vp/products/5625704601?itemId=19013169354&vendorItemId=86137789886,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/7fdc380a-28bc-4fe0-aa77-2da295c6a73f2154884252425682791.png
"스파클 생수 무라벨, 2L, 36개","19,900",https://www.coupang.com/vp/products/6830320694?itemId=18354584884&vendorItemId=83406358856,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/4d2b/5da8b819df8b81394f84a4b0a085a467b37ac0631d8630f8dc7a6c7274ad.jpg
"제주삼다수 그린 무라벨, 2L, 24개","25,920",https://www.coupang.com/vp/products/7666070794?itemId=22055320731&vendorItemId=86478559175,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/d16f/c9f3feeab9b2e41e41bd801053a628dbf4dc245c28febdfe0977dc895181.jpg
"스파클 생수 무라벨, 2L, 30개","16,510",https://www.coupang.com/vp/products/6830320694?itemId=20607920353&vendorItemId=83406358890,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/4d2b/5da8b819df8b81394f84a4b0a085a467b37ac0631d8630f8dc7a6c7274ad.jpg
"탐사수 무라벨, 500ml, 60개","12,590",https://www.coupang.com/vp/products/5625704601?itemId=11696970903&vendorItemId=79547658934,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/8490946390630062-860cc30c-bf13-4328-ab25-52d81b215aa2.jpg
"탐사 샘물, 2L, 36개","15,390",https://www.coupang.com/vp/products/7689270513?itemId=20877904962&vendorItemId=87945141063,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/1077787963868499-c1e46ca7-d157-4de0-ad8e-063b93ac490d.jpg
"탐사수 무라벨, 2L, 24개","12,690",https://www.coupang.com/vp/products/5625704601?itemId=11696984031&vendorItemId=79548063314,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/7609662521933713-0d7870de-5716-43c5-a3f5-22f7a34f3a43.jpg
"백산수 무라벨 생수, 24개, 2L","20,600",https://www.coupang.com/vp/products/7990804172?itemId=22211274924&vendorItemId=86494111210,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253890612178680-4dba7429-0871-4871-9616-123be4a37f41.jpg
"제주 삼다수, 2L, 24개","25,860",https://www.coupang.com/vp/products/5585425593?itemId=20387576967&vendorItemId=86469815329,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/b2403da6-db71-4a7b-8ab2-81bab1b4a9734351865420583677325.png
"제주삼다수 그린 무라벨, 2L, 12개","12,960",https://www.coupang.com/vp/products/7666070794?itemId=22055326688&vendorItemId=86478559145,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/19297008517300-ec609ffd-c934-490b-94ed-64db9b0a36cc.jpg
"농심 백산수, 2L, 24개","20,220",https://www.coupang.com/vp/products/4876313878?itemId=15403235745&vendorItemId=3265224586,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/3566094149668714-1288c7ab-09a8-4a88-9eba-e85569c7cee3.jpg
"제주삼다수 그린, 500ml, 60개","28,800",https://www.coupang.com/vp/products/7666070794?itemId=20137528264&vendorItemId=86469902958,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/1856940581460369-5b0a7bb4-bfe7-4b3d-b1f3-cf2b5b43a8d7.jpg
"제주삼다수 제주 삼다수 무라벨 2L X 12병(유/무라벨 랜덤발송), 12개","12,300",https://www.coupang.com/vp/products/7805885619?itemId=21685721250&vendorItemId=88400160455,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/83a3/b4d0a14eeedcf898e7cbcaabea597fae012839bffb2814b5715ddb35c820.jpg
"제주삼다수 그린 무라벨, 2L, 18개","19,440",https://www.coupang.com/vp/products/7666070794?itemId=21631176833&vendorItemId=86478559177,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/19203616526154-33d20e87-7846-4882-9fbe-2783bdae7ee8.jpg
"백산수 무라벨 생수, 2L, 30개","25,750",https://www.coupang.com/vp/products/6393352093?itemId=18256769967&vendorItemId=86494111220,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253890366263982-bbb93042-7c46-4113-915f-72177a5d5096.jpg
"백산수 무라벨 생수, 2L, 18개","15,480",https://www.coupang.com/vp/products/6393352093?itemId=18355000962&vendorItemId=86494109832,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253890501535614-de9187c0-e831-4ebd-8ed1-a018b68b41b6.jpg
"제주삼다수 그린, 2L, 36개","38,880",https://www.coupang.com/vp/products/7666070794?itemId=16612054328&vendorItemId=86949016528,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/619255848825200-04130ff1-3567-4dee-aaaa-7abf487facf3.jpg
"탐사 샘물, 2L, 12개","5,990",https://www.coupang.com/vp/products/7689270513?itemId=20877904723&vendorItemId=87945140904,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/6748183448156572-2888e633-ecc7-4536-b2ce-43fa7aaff597.jpg
"탐사수 무라벨, 500ml, 40개","8,590",https://www.coupang.com/vp/products/5625704601?itemId=9133866797&vendorItemId=79544780492,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/9201864858934831-7e4253f9-391a-458d-bd66-b591309922c5.crdownload
"제주삼다수 그린, 500ml, 100개","48,000",https://www.coupang.com/vp/products/7666070794?itemId=19730837130&vendorItemId=86469903929,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/619020136586994-b55fb8dc-b4ab-49ab-9d40-72a82f67f338.jpg
"백산수 무라벨 생수, 2L, 36개","30,960",https://www.coupang.com/vp/products/7568336960?itemId=21020472862&vendorItemId=86949016997,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253890259176410-2e3d8da1-2ac7-4959-b549-c35e8444d94d.jpg
"백산수 무라벨 생수, 500ml, 60개","22,350",https://www.coupang.com/vp/products/6393352093?itemId=19173803756&vendorItemId=86494112266,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/54869450908393-4cba5d84-8f38-44f9-beee-998efaa6d9f1.jpg
"풀무원샘물 무라벨 생수, 2L, 30개","18,910",https://www.coupang.com/vp/products/6239512369?itemId=13429162491&vendorItemId=86494126424,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/fc25af27-d333-426f-a1de-0b897610b1cb6488115182977641238.png
