브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
탐사,"탐사수 무라벨, 2L, 12개",,"6,490원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-08-09 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 9133866800",https://www.coupang.com/vp/products/5625704601?itemId=9133866800&vendorItemId=79544780507&pickType=COU_PICK
탐사,"탐사수 무라벨, 2L, 36개",,"16,800원",로켓배송,없음,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-08-09 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169354",https://www.coupang.com/vp/products/5625704601?itemId=19013169354&vendorItemId=86137789886
스파클,"스파클 생수 무라벨, 2L, 36개","19,900원","16,900원",스파클주식회사,3,개당 용량 × 총 수량: 2L × 36개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 18354584884",https://www.coupang.com/vp/products/6830320694?itemId=18354584884&vendorItemId=83406358856
,"제주삼다수 그린 무라벨, 2L, 24개",,"25,920원",로켓배송,107,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-02-13 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 비건 여부: 비건, 쿠팡상품번호: 7666070794 - 22055320731",https://www.coupang.com/vp/products/7666070794?itemId=22055320731&vendorItemId=86478559175
스파클,"스파클 생수 무라벨, 2L, 30개",,"16,510원",스파클주식회사,없음,개당 용량 × 총 수량: 2L × 30개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 20607920353",https://www.coupang.com/vp/products/6830320694?itemId=20607920353&vendorItemId=83406358890
탐사,"탐사수 무라벨, 500ml, 60개","12,590원","12,390원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 60개,"소비기한(또는 유통기한): 2024-08-07 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 11696970903",https://www.coupang.com/vp/products/5625704601?itemId=11696970903&vendorItemId=79547658934
탐사,"탐사 샘물, 2L, 36개",,"15,390원",로켓배송,없음,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 쿠팡상품번호: 7689270513 - 20877904962",https://www.coupang.com/vp/products/7689270513?itemId=20877904962&vendorItemId=87945141063
탐사,"탐사수 무라벨, 2L, 24개",,"12,690원",로켓배송,없음,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-08-09 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 11696984031",https://www.coupang.com/vp/products/5625704601?itemId=11696984031&vendorItemId=79548063314
,"백산수 무라벨 생수, 2L, 24개",,"20,600원",로켓배송,70,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 아시아, 음료수 종류: 생수, 쿠팡상품번호: 7990804172 - 22211274924",https://www.coupang.com/vp/products/7990804172?itemId=22211274924&vendorItemId=86494111210
,"제주 삼다수, 2L, 24개",,"25,860원",로켓배송,84,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-04-11 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 제주도, 비건 여부: 비건, 쿠팡상품번호: 5585425593 - 20387576967",https://www.coupang.com/vp/products/5585425593?itemId=20387576967&vendorItemId=86469815329
